quarter,fomc_minutes_growth_expectations,fomc_minutes_inflation_concern,fomc_minutes_labor_market,fomc_minutes_credit_conditions,fomc_minutes_policy_uncertainty,beige_book_growth_expectations,beige_book_inflation_concern,beige_book_labor_market,beige_book_credit_conditions,beige_book_policy_uncertainty
2007Q4,-0.9166666666666666,0.9166666666666667,0.75,-1.25,1.25,,,,,
2008Q1,-1.5,1.0833333333333335,-0.75,-1.5833333333333335,0.9166666666666666,,,,,
2008Q2,-1.5,1.5,-1.0,-1.5,1.0,,,,,
2008Q3,-1.5,1.0,-1.0,-1.5833333333333335,1.25,,,,,
2008Q4,-2.0,-1.5,-1.75,-2.0,1.1666666666666665,,,,,
2009Q1,-2.0,-1.5,-2.0,-2.0,1.25,,,,,
2009Q2,-0.8333333333333333,-1.1666666666666667,-1.9166666666666665,-1.25,0.16666666666666669,,,,,
2009Q3,0.75,-1.0,-1.5,-0.5833333333333333,-1.0833333333333335,,,,,
2009Q4,0.75,-1.0,-1.5,-0.5,-1.0,,,,,
2010Q1,1.0,-1.0,-1.1666666666666665,-0.08333333333333333,-0.25,,,,,
2010Q2,0.75,-1.0,-0.8333333333333333,-0.25,0.25,,,,,
2010Q3,-1.0,-1.5,-1.5,-0.5,1.0,,,,,
2010Q4,-0.25,-1.4166666666666665,-1.25,0.5,0.25,,,,,
2011Q1,1.0,0.0,-0.33333333333333337,0.16666666666666669,-0.25,1.0,0.75,0.5,-0.25,0.25
2011Q2,0.08333333333333331,1.0,-0.5,0.75,0.75,0.75,1.25,0.75,0.5,0.75
2011Q3,-1.25,-0.25,-1.5,-0.41666666666666663,1.25,-0.25,0.0,-0.5,0.5,1.5
2011Q4,-0.25,-1.0,-1.25,-0.16666666666666669,0.6666666666666667,0.0,-1.0,-0.75,-0.5,1.5
2012Q1,0.5,-0.5,-0.08333333333333334,0.25,-1.0,0.75,-0.5,0.0,0.75,0.75
2012Q2,0.0,-0.25,-0.08333333333333337,0.5,0.75,1.0,0.0,0.5,1.0,0.75
2012Q3,-0.75,-1.0,-1.5,0.08333333333333334,1.25,0.5,-0.25,-0.5,0.75,1.5
2012Q4,0.25,-0.75,-0.75,0.25,1.4166666666666665,0.25,-0.5,-0.25,0.75,1.5
2013Q1,0.5,-1.0,-0.08333333333333333,1.0,0.5,0.5,-0.5,-0.25,0.75,1.5
2013Q2,0.75,-1.0,0.41666666666666663,1.25,1.0833333333333335,0.75,-0.5,0.5,1.0,0.25
2013Q3,0.25,-1.0,0.0,0.0,1.1666666666666665,1.0,-1.0,0.5,0.5,0.75
2013Q4,0.75,-1.0,0.25,1.1666666666666667,0.75,0.75,-0.75,0.5,0.5,1.5
2014Q1,0.75,-1.0,0.75,1.0,0.0,0.75,-1.0,0.5,1.0,0.75
2014Q2,1.0,-0.75,0.75,1.0,0.08333333333333334,1.0,0.5,0.75,1.0,-1.25
2014Q3,1.0,-0.5,1.25,1.1666666666666665,0.5833333333333333,1.0,-0.5,0.75,1.0,-0.25
2014Q4,1.0,-1.0,1.3333333333333335,1.25,0.5833333333333333,0.75,-1.25,1.0,1.0,-0.75
2015Q1,0.5,-1.0,1.5,1.0,0.8333333333333334,0.75,-0.75,0.75,1.0,0.0
2015Q2,0.0,-1.0,0.9166666666666667,1.25,0.8333333333333333,0.5,-0.5,0.5,1.0,0.25
2015Q3,0.75,-0.8333333333333333,1.5,0.5,1.0833333333333333,0.75,-0.75,1.0,1.0,0.5
2015Q4,0.75,-1.0,1.25,0.0,0.8333333333333334,0.25,-0.75,0.75,0.75,0.0
2016Q1,0.16666666666666669,-0.75,1.5,-0.08333333333333331,1.0,0.5,-1.25,1.0,0.75,0.75
2016Q2,0.25,-0.5,1.25,1.0833333333333335,0.9166666666666666,0.5,-0.5,1.0,1.0,-0.5
2016Q3,0.5,-0.5,1.25,0.9166666666666667,0.5,0.5,-0.5,1.0,0.75,0.75
2016Q4,1.0,0.0,1.5,1.0,0.9166666666666666,0.5,-0.75,1.25,0.75,1.25
2017Q1,1.0,0.41666666666666663,1.5,1.0,1.0833333333333333,1.0,0.5,1.5,0.5,1.25
2017Q2,0.75,-0.5,1.5,1.0,0.75,0.75,0.5,1.5,1.0,1.0
2017Q3,1.0,-1.0,1.5,1.0,0.5,0.75,0.25,1.5,0.75,0.75
2017Q4,1.5,-0.8333333333333333,1.5,1.0,0.5,1.0,0.75,1.5,0.75,0.75
2018Q1,1.5,0.08333333333333334,1.5,1.0833333333333335,-0.8333333333333333,1.0,0.75,1.5,0.5,0.0
2018Q2,1.5,0.5,1.75,1.0,-0.5833333333333334,1.0,1.0,1.5,0.75,1.25
2018Q3,1.5,0.5,1.5,1.0,-0.08333333333333331,0.75,1.0,1.5,0.5,1.25
2018Q4,1.25,0.0,1.5833333333333335,0.08333333333333331,0.75,0.75,1.0,1.5,0.5,1.25
2019Q1,0.0,-0.5,1.5,0.0,0.0,0.5,0.5,1.5,0.0,1.25
2019Q2,0.08333333333333331,-0.9166666666666666,1.5,0.9166666666666667,1.0,0.5,0.0,1.5,0.75,1.25
2019Q3,0.08333333333333334,-1.0,1.5,1.0,0.8333333333333333,0.25,-0.5,1.5,0.5,1.5
2019Q4,0.5,-0.75,1.5,1.0,0.0,0.25,-0.25,1.5,0.5,1.25
2020Q1,-0.41666666666666663,-0.75,1.0,-0.25,0.9166666666666667,0.5,-0.25,1.5,0.5,1.0
2020Q2,-1.75,-1.25,-1.75,-0.25,1.5,-1.75,-1.25,-1.75,-0.25,1.5
2020Q3,0.25,-1.25,-0.5833333333333333,0.75,1.25,0.25,0.0,-0.75,0.25,1.5
2020Q4,0.0,-1.0,-0.6666666666666667,0.41666666666666663,1.25,0.25,0.5,0.25,0.25,1.5
2021Q1,1.25,0.0,-0.5,0.75,1.0,0.25,1.0,0.0,0.5,1.25
2021Q2,1.5,0.75,0.75,1.5,0.75,1.5,1.5,1.0,0.5,-0.25
2021Q3,1.0,1.0,1.0,1.5,1.25,1.0,1.5,1.5,0.75,1.0
2021Q4,0.75,1.25,1.5,1.25,1.25,0.75,1.5,1.5,0.25,1.0
2022Q1,0.0,1.5,1.5,0.75,1.0,0.5,1.5,1.5,0.25,1.0
2022Q2,0.0,1.75,1.5,-1.0,1.0,0.25,1.5,1.25,-0.5,1.25
2022Q3,-1.0,1.75,1.0,-1.25,0.25,-0.75,1.25,0.5,-0.5,1.0
2022Q4,-1.0,1.5,1.5,-1.25,0.75,-0.5,1.25,0.5,-1.0,1.5
2023Q1,-1.0,1.5,1.25,-1.0,1.25,-0.5,0.5,0.5,-1.0,1.0
2023Q2,-0.75,1.5,1.0,-1.25,1.5,-0.5,0.25,0.25,-1.0,1.5
2023Q3,0.75,1.5,0.75,-0.75,1.25,-0.5,-1.0,0.25,-1.0,0.5
2023Q4,0.0,1.0,0.5,-1.0,1.0,-0.75,-0.5,0.0,-1.0,0.75
2024Q1,0.75,0.75,0.75,-0.5,1.0,,,,,
2024Q2,0.75,1.25,0.75,-0.5,1.0,,,,,
2024Q3,0.75,-0.5,-0.25,-0.25,1.0,,,,,
2024Q4,1.0,0.25,0.5,-0.5,1.25,,,,,
